,brand_name,screen_size_cm,screen_size_inch,resolution,screen_type,price,ratings,no_of_ratings,reviews,launch_year
0,Foxsky,80,32,HD Ready,QLED,7499,4.2,4095,1162,2024
1,Thomson,80,32,HD Ready,LED,6999,4.1,30898,4899,2025
2,realme,109,43,Ultra HD (4K),QLED,19999,4.1,2515,279,2025
3,Infinix,80,32,HD Ready,LED,7999,4.2,58660,5830,2024
4,InnoQ,60,24,HD Ready,LED,4990,4.2,8565,937,2024
5,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
6,realme,80,32,HD Ready,QLED,9499,4.1,9053,686,2025
7,Foxsky,60,24,HD Ready,LED,5499,4.1,8820,2025,2025
8,Thomson,100,40,Full HD,LED,14499,4.3,126694,21850,2023
9,Samsung,80,32,HD Ready,LED,13990,4.3,104133,6444,2025
10,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
11,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
12,Foxsky,109,43,Full HD,LED,12499,4.1,8820,2025,2023
13,iFFALCON,80,32,HD Ready,LED,8999,4.1,2709,190,2025
14,Acer,108,43,Ultra HD (4K),LED,21999,3.9,9955,939,2024
15,XIAOMI,80,32,HD Ready,LED,11999,4.3,96782,6489,2024
16,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.5,11449,2821,2023
17,XIAOMI,108,43,Full HD,LED,21999,4.3,96782,6489,2025
18,Acer,80.01,32,HD Ready,LED,10999,3.9,9955,939,2024
19,Foxsky,80,32,HD Ready,LED,6999,4.1,8820,2025,2023
20,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
21,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.2,4095,1162,2024
22,Thomson,126,50,Ultra HD (4K),LED,23999,4.4,40692,9599,2023
23,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.2,2731,247,2025
24,Foxsky,80,32,HD Ready,QLED,7499,4.3,4095,1162,2024
25,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
26,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
27,Infinix,80,32,HD Ready,LED,7999,4.3,58660,5830,2024
28,InnoQ,60,24,HD Ready,LED,4990,4.2,8565,937,2024
29,Coocaa,80,32,HD Ready,LED,7999,4.2,25833,2989,2024
30,realme,80,32,HD Ready,QLED,9499,4.4,9053,686,2025
31,Foxsky,60,24,HD Ready,LED,5499,4.2,8820,2025,2025
32,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
33,Samsung,80,32,HD Ready,LED,13990,4.2,104133,6444,2025
34,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
35,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
36,Foxsky,109,43,Full HD,LED,12499,4.2,8820,2025,2023
37,iFFALCON,80,32,HD Ready,LED,8999,4.2,2709,190,2025
38,Acer,108,43,Ultra HD (4K),LED,21999,4.2,9955,939,2024
39,XIAOMI,80,32,HD Ready,LED,11999,4.2,96782,6489,2024
40,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.1,11449,2821,2023
41,XIAOMI,108,43,Full HD,LED,21999,4.1,96782,6489,2025
42,Acer,80.01,32,HD Ready,LED,10999,4.2,9955,939,2024
43,Foxsky,80,32,HD Ready,LED,6999,4.2,8820,2025,2023
44,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
45,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.1,4095,1162,2024
46,Thomson,126,50,Ultra HD (4K),LED,23999,4.1,40692,9599,2023
47,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.3,2731,247,2025
48,Foxsky,80,32,HD Ready,QLED,7499,4.3,4095,1162,2024
49,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
50,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
51,Infinix,80,32,HD Ready,LED,7999,4.1,58660,5830,2024
52,InnoQ,60,24,HD Ready,LED,4990,4.1,8565,937,2024
